id,value
dessert, 4.852
seafood, 8.434
bread, 2.3869
fried food, 4.3352
meat, 24.23428571
dairy product, 12.9346
rice, 2.5641
noodles-pasta, 2.7189
soup, 5.6379
vegetables-fruit, 0.8005294118
egg,3.85
